ID EBV
3DD.003D5863B7_CX-68_2019 -1.05311461
3DD.003D3DB8E6_CX-19_2019 -13.61618757
3DD.003BF05B42_CX-69_2016 4.80064739
3DD.003BF057B3_CX-21_2017 25.83309403
3D9.239F88A65A_CX-78_2017 -36.60480958
3DD.003D3DB721_CX-204_2019 52.27478675
3DD.003D58612A_cx-126_2018 33.44976052
3DD.003E2A2D87_CX-39_2022 -11.15593247
3DD.003BEF65F2_CX-98_2016 -41.67915282
3DD.003D3DB7BA_cx-12_2018 -16.88027204
3DD.003D3DB70D_CX-135_2019 10.8311381
3DD.003E2A321E_CX-152_2022 1.56835886
3DD.003E2A3223_CX-152_2022 14.81829446
3DD.003D312D54_CX-86_2017 5.52884286
3DD.003D3DB5CA_cx-101_2018 -3.53969629
3DD.003D58669B_CX-26_2020 -9.20348988
3DD.003D586227_CX-84_2020 -14.82102049
3DD.003E2A32D4_CX-68_2022 4.21692517
3DD.003BF0572A_CX-47_2016 14.09953837
3DD.003BEF660D_CX-106_2016 16.65389698
3DD.003D5866DA_CX-81_2020 -22.22834596
3DD.003BF05AAE_CX-55_2016 -14.29323794
3DD.003D5863AB_CX-64_2019 -20.71968568
3DD.003BF05946_CX-118_2016 8.93251924
3DD.003E091181_CX-23_2022 0.0175768
3DD.003D312C9F_CX-126_2017 -16.84157153
3DD.003D58621F_CX-85_2020 3.85641114
3DD.003E2A2B51_CX-97_2022 -5.60931921
3DD.003BEF662F_CX-97_2016 0.72121133
3DD.003D3DB8F7_CX-26_2019 16.20028123
3DD.003E2A2D7B_CX-35_2022 -22.97578479
3DD.003E09117C_CX-23_2022 -5.23239768
3DD.003D3DB6C2_CX-170_2019 -16.53743776
3DD.003E2A3259_CX-151_2022 -3.18479357
3DD.003E2A32C5_CX-61_2022 0.32870223
3DD.003D312BE8_CX-108_2017 24.4915609
3DD.003BF05B27_CX-64_2016 12.25650529
3DD.003D3DB5D6_cx-114_2018 21.79351391
3DD.003D585F6F_CX-4_2020 28.35246484
3DD.003E090FF7_CX-12_2022 3.08669017
3DD.003D58641B_CX-99_2019 -25.75813563
3DD.003E2A31B4_CX-125_2022 -25.99932961
3DD.003D58604F_CX-124_2020 31.56034528
3DD.003E091046_CX-13_2022 6.3440747
3DD.003BF05A5C_CX-91_2016 2.72120161
3DD.003D585F74_CX-4_2020 11.35254747
3DD.003D3DB695_CX-96_2019 -2.6492653
3DD.003BEF65AA_CX-21_2016 -1.20244838
3DD.003D58678F_CX-133_2020 -16.17032501
3DD.003BDCFC08_CX-63_2014 19.73005226
3DD.003D3DB8E8_CX-29_2019 9.86697868
3DD.003E2A2BE9_CX-77_2022 31.88136987
3DD.003D3DB91E_CX-45_2019 1.66020918
3DD.003BEF29DD_CX-114_2015 -2.21667906
3DD.003D585F18_cx-48_2020 -9.60609128
3DD.003BEF662C_CX-98_2016 -32.34586485
3DD.003D312B32_CX-140_2017 21.15268619
3DD.003D586105_cx-96_2018 -16.87296482
3DD.003D5860A6_cx-32_2018 -3.84943584
3DD.003D3DB952_CX-35_2019 -7.67307878
3DD.003E2A2C0E_CX-72_2022 12.34805614
3DD.003E090FFE_CX-7_2022 -1.79951273
3DD.003D585F17_CX-52_2020 -1.00791948
3DD.003E2A326B_CX-151_2022 -22.68469879
3DD.003BF05815_CX-34_2017 22.89600734
3DD.003D58670E_CX-57_2020 -6.10826766
3DD.003D586677_CX-20_2020 -3.04141027
3DD.003D5865B6_cx-182_2018 2.27982828
3DD.003BEF63C7_CX-52_2016 -0.62812596
3DD.003D3DB934_CX-31_2019 14.53362267
3DD.003D585FD0_CX-102_2020 2.98458705
3DD.003D5864C4_CX-196_2019 20.51640538
3DD.003D58646D_CX-196_2019 -11.48343908
3DD.003E2A3294_CX-50_2022 22.55598446
3DD.003D3DB94D_CX-35_2019 -2.67310309
3DD.003D3DB751_CX-204_2019 10.94165432
3DD.003D585F77_CX-6_2020 36.02701427
3DD.003BEF65D6_CX-22_2016 29.01216088
3DD.003D3DB92F_CX-31_2019 -2.79962642
3DD.003BF058E0_CX-124_2016 -0.26578731
3DD.003D3DB93B_CX-43_2019 7.32684831
3DD.003D586670_CX-26_2020 29.79632056
3DD.003BEF64FA_CX-27_2016 -11.21471351
3DD.003BF05749_CX-51_2016 -22.90618682
3DD.003BEF6632_CX-114_2016 12.98724814
3DD.003E09101F_CX-7_2022 -10.04947263
3DD.003E2A31FA_CX-134_2022 8.8131838
3DD.003BF05A2F_CX-90_2016 12.53168614
3DD.003D586148_cx-145_2018 -11.87101261
3DD.003D58666B_CX-26_2020 0.79646151
3DD.003BF05A9E_CX-62_2016 51.26988252
3DD.003D585F25_cx-46_2020 13.72712864
3DD.003D5866E8_CX-74_2020 6.55715633
3DD.003BEF64EE_CX-29_2016 16.57320848
3DD.003BEF6642_CX-106_2016 17.98722384
3DD.003BF05916_CX-118_2016 4.43254111
3DD.003E2A2D02_CX-115_2022 -10.41446152
3DD.003D312C6F_CX-126_2017 -17.84156667
3DD.003BEF6451_CX-188_2017 -32.22730104
3DD.003D586450_CX-117_2019 -16.75817938
3DD.003D3DB86F_cx-67_2018 9.47994234
3DD.003BF05A04_CX-75_2016 -16.29604381
3DD.003D586686_CX-31_2020 29.98170735
3DD.003BF05AFF_CX-69_2016 -1.14932064
3D9.239F88B2C2_CX-69_2017 4.72140014
3DD.003D5864B1_CX-190_2019 8.84979542
3DD.003D5865C1_CX-15_2019 -0.94958247
3DD.003D586421_CX-134_2019 1.16451842
3DD.003D586101_cx-130_2018 5.78322833
3DD.003BEF2AA7_CX-16_2016 -17.40311812
3DD.003BF05AFA_CX-64_2016 16.12075924
3DD.003BF057A8_CX-12_2017 -11.16672613
3DD.003D585F9F_CX-4_2020 11.85254504
3DD.003E2A2BF1_CX-70_2022 5.95576599
3DD.003BEF6501_CX-29_2016 29.22314089
3DD.003D3DB58A_cx-107_2018 -11.87298912
3DD.003BF057A3_CX-14_2017 -20.5000141
3DD.003BF05A2C_CX-91_2016 -6.61208636
3DD.003D58618B_cx-145_2018 -27.53760313
3DD.003D5863C7_CX-54_2019 36.94670069
3DD.003E2A2D1A_CX-114_2022 -27.47768473
3DD.003D58644B_CX-99_2019 -27.09146249
3DD.003D5866C2_CX-62_2020 9.53040549
3DD.003BF0576E_CX-8_2017 -8.00447426
3D9.239F88BA20_CX-85_2017 -4.27352117
3DD.003D5865A3_CX-11_2019 2.33375681
3DD.003BF05A76_CX-82_2016 -13.04128536
3DD.003BEF6508_CX-23_2016 -38.81156532
3DD.003D3129A5_CX-56_2017 -7.64988529
3DD.003D3DB8B8_CX-29_2019 -6.46627526
3DD.003E2A2D4C_CX-104_2022 8.50661892
3DD.003D3DB7FB_cx-69_2018 -0.18667734
3DD.003D586019_CX-88_2020 5.35634839
3DD.003D58602E_CX-121_2020 -7.19716701
3DD.003E091048_CX-12_2022 3.58668774
3DD.003D5860D6_cx-32_2018 -10.51607011
3DD.003D3DB922_CX-35_2019 2.66020432
3DD.003BEF63E1_CX-51_2016 13.29363418
3DD.003BF057F3_CX-43_2017 32.58353264
3DD.003D312B5F_CX-162_2017 -32.23436628
3DD.003BF05718_CX-51_2016 6.39365856
3DD.003BF057EE_CX-43_2017 22.83358003
3DD.003D5863D8_CX-46_2019 13.99348257
3DD.003D586483_CX-175_2019 32.79565579
3DD.003D586050_CX-120_2020 -26.78029765
3DD.003D3DB91D_CX-35_2019 -3.0064348
3DD.003BEF65EA_CX-110_2016 20.79707224
3DD.003D312B5D_CX-140_2017 22.55194425
3DD.003BEF2AD9_CX-15_2016 -19.93536986
3DD.003D586408_CX-99_2019 -6.42489627
3DD.003D312C56_CX-113_2017 11.04092471
3DD.003BF057B4_CX-21_2017 10.49983522
3DD.003BDCFC66_CX-32_2014 3.56246725
3DD.003E2A2D08_CX-114_2022 -23.22770539
3DD.003D5866E0_CX-81_2020 -6.22842373
3DD.003BF05762_CX-21_2017 13.49982064
3DD.003E2A2DBD_CX-38_2022 30.04712757
3DD.003BF05AAD_CX-55_2016 -23.94318493
3DD.003D312D53_CX-86_2017 8.86215999
3DD.003BEF6602_CX-114_2016 1.65396989
3DD.003BF057D7_CX-34_2017 -7.8538432
3DD.003E2A31D3_CX-141_2022 -16.60626765
3DD.003D3DB927_CX-44_2019 -6.67308364
3DD.003E0911CF_CX-23_2022 0.26757558
3DD.003E2A2DC2_CX-38_2022 34.04710812
3DD.003BEF64B7_CX-27_2016 -14.26468648
3DD.003BF059CB_CX-75_2016 -13.54605718
3DD.003E2A2D33_CX-115_2022 -4.1644919
3DD.003D312C0D_CX-107_2017 -8.47108909
3DD.003D58648A_CX-190_2019 2.51649287
3DD.003E2A2DB9_CX-36_2022 -15.02123526
3DD.003BF0599E_CX-114_2016 15.32057013
3DD.003D5866A3_CX-33_2020 -43.78601495
3DD.003E2A3258_CX-151_2022 -20.18471094
