id	dam	sire
3DD.003D586597_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865AD_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865AF_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865B6_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865B9_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865BC_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865BD_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865C0_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865C3_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865C4_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865C6_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865C7_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865C9_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865CC_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865D0_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865D5_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865D6_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865D8_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
3DD.003D5865DA_CX-182_2018	3DD.003BF05A44_CX-90_2016	3DD.003BEF64FD_CX-27_2016
