id sire dam
20109029  20066052  20066138
20109030  20010295  20066616
20109031  20010295  20066616
20109032  20066055  20066141
20109033  20066056  20066142
20109034  20066057  20066143
20109035  20066058  20066144
20109036  20066059  20066145
20109037  20066060  20066146
20109038  20066061  20066147
20109039  20066062  20066148
20109040  20066063  20066149
20109041  20066064  20066150
20109042  20066065  20066151
20109043  20066066  20066152
20109044  20066067  20066153
20109045  20066068  20066154
20109046  20066069  20066155
20109047  20066070  20066156
20109048  20066071  20066157
20109049  20010295  20066616
20109050  20066073  20066159
20109051  20066074  20066160
20109052  20010295  20066616
20109053  20066076  20066162
20109054  20066077  20066163
20109055  20066078  20066164
20109056  20066079  20066165
20109057  20066080  20066166
20109058  20066081  20066167
20109059  20010291  20066985
20109060  20010291  20066985
20109061  20010291  20066985
20109062  20066085  20066171
20131054  0 0
20131071  0 0
20131082  20081111  20090680
20135838  0 0
20135839  0 0
20135844  0 0
20135846  0 0
20135849  0 0
20135851  0 0
20140106  20108983  20109022
20140107  20108983  20109022
20140114  20108983  20109022
20140118  20108983  20109022
20140119  20108983  20109022
20140243  20108991  20109030
20140246  20108991  20109030
20140254  20108991  20109030
20140262  20108992  20109031
20140263  20108992  20109031
20140270  20108992  20109031
20140274  20108992  20109031
20140277  20108992  20109031
20140281  20108992  20109031
20140283  20108992  20109031
20140597  20109003  20109049
20140607  20109003  20109049
20140608  20109003  20109049
20140611  20109003  20109049
20140612  20109003  20109049
20140614  20109003  20109049
20140617  20109003  20109049
20140673  20108998  20109052
20140674  20108998  20109052
20140681  20108998  20109052
20140815  20109010  20109059
20140821  20109010  20109059
20140824  20109010  20109059
20140825  20109010  20109059
20140832  20109010  20109059
20140834  20109010  20109059
20140847  20109011  20109060
20140852  20109011  20109060
20140858  20109011  20109060
20140859  20109012  20109061
20140865  20109012  20109061
20140881  20109012  20109061
20140884  20109012  20109061
20140908  20100741  20100743
20140915  20100741  20100753
20140922  20100741  20100753
20140960  20090681  20090676
20140966  20090681  20090676
20141010  20090681  20090676
20141016  20090679  20090693
20141020  20090679  20090693
20141033  20090679  20090693
20141060  20100446  20100692
20141063  20100446  20100692
20141064  20100446  20100692
20141065  20100446  20100692
20141071  20100446  20100692
20141077  20100013  20100862
20141078  20100013  20100862
20141083  20100013  20100862
20141089  20100013  20100862
20141090  20100013  20100862
20141092  20100013  20100862
20141134  20100107  20100393
20141137  20100107  20100393
20141173  20091161  20100392
20141175  20091161  20100392
20141182  20091161  20100392
20141275  20100446  20100692
20141277  20100446  20100692
20141280  20100446  20100692
20141284  20100446  20100692
20141285  20100446  20100692
